asset_id,year,document_id,page_id,collection_page_number,document_page_number,owner_code,owner_label,owner_reported,portfolio_group,asset_name,asset_class,description,reported_value,value_min_usd,value_max_usd,value_has_open_upper_bound,income_types,other_income,reported_income,income_min_usd,income_max_usd,income_has_open_upper_bound,transaction_code,printed_page_label
asset:2016:000029,2016,2016-1,page:2016-1:0004,4,4,SP,Spouse,SP,"MURA Holdings, LLC:","MAI Capital Management, LLC",Hedge funds & private funds,"Private fund / partnership interest — MAI Capital Management, LLC","Spouse/DC Asset over $1,000,000",1000001,,True,"[""Partnership""]",,,,,False,,4/116
asset:2016:000030,2016,2016-1,page:2016-1:0004,4,4,SP,Spouse,SP,"MURA Holdings, LLC:",Trademark,Other,A trademark held as an intellectual property asset,None,0,0,False,"[""Partnership""]",,,,,False,,4/116
asset:2016:000031,2016,2016-1,page:2016-1:0004,4,4,SP,Spouse,SP,"MURA Holdings, LLC:",Trademark,Other,A trademark held as an intellectual property asset,None,0,0,False,"[""Ordinary gain""]",,,,,False,,4/116
asset:2016:000032,2016,2016-1,page:2016-1:0004,4,4,SP,Spouse,SP,"MURA Holdings, LLC:",Trademark,Other,A trademark held as an intellectual property asset,None,0,0,False,"[""Capital gain""]",,,,,False,,4/116
asset:2016:000033,2016,2016-1,page:2016-1:0004,4,4,SP,Spouse,SP,"MURA Holdings, LLC:",Huntington Bank Checking,Cash & deposits,Cash or bank deposit,"$50,001-$100,000",50001,100000,False,"[""N/A""]",,,,,False,,4/116
asset:2016:000034,2016,2016-1,page:2016-1:0005,5,5,SP,Spouse,SP,See attached GS Schedule,Barclays Autocallable Structured Note on worst of Eurostoxx 50 Index & S&P 500 Index with contingent quarterly payment of 2.2875% (Ticker: SPTWG),Structured notes,Structured note or market-linked security — Barclays Autocallable Structured Note On Worst of Eurostoxx 50 Index & S&P 500 Index With Contingent Quarterly Payment of 2.2875% (ticker: Sptwg),"G: $250,001-$500,000",250001,500000,False,"[""Other type of income""]",,,,,False,,5/116
asset:2016:000035,2016,2016-1,page:2016-1:0005,5,5,SP,Spouse,SP,See attached GS Schedule,Barclays Trigger PLUS Structured Note on the Eurostoxx 50 Index (Ticker: SPSQH),Other,Barclays-issued structured note whose return is tied to the Euro Stoxx 50 European stock index,"F: $100,001-$250,000",100001,250000,False,"[""N/A""]",,,,,False,,5/116
asset:2016:000036,2016,2016-1,page:2016-1:0005,5,5,SP,Spouse,SP,See attached GS Schedule,Morgan Stanley Participation Securities Structured Note on the MS SmartInvest Equity Index (Ticker: SPQRD),Other,Morgan Stanley structured note tied to its proprietary SmartInvest stock index,A: None,,,False,"[""Capital gains""]",,,,,False,,5/116
asset:2016:000037,2016,2016-1,page:2016-1:0006,6,6,SP,Spouse,SP,See attached GS Schedule,Vanguard Dividend Growth Fund (Ticker: VDIGX),Funds & ETFs,Investment fund — Vanguard Dividend Growth Fund (ticker: Vdigx),A: None,,,False,"[""Dividends""]",,,,,False,,6/116
asset:2016:000038,2016,2016-1,page:2016-1:0006,6,6,SP,Spouse,SP,See attached GS Schedule,Hamlin High Div Equity Inst (Ticker: HHDFX),Other,"Hamlin High Dividend Equity Fund, a mutual fund of dividend-paying U.S. stocks",A: None,,,False,"[""Capital gains""]",,,,,False,,6/116
asset:2016:000039,2016,2016-1,page:2016-1:0006,6,6,SP,Spouse,SP,See attached GS Schedule,Solarcity (Ticker: SCTY),Other,"Common stock of SolarCity, residential solar panel installer later acquired by Tesla",A: None,,,False,"[""Capital gains""]",,,,,False,,6/116
asset:2016:000040,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,Twitter,Other,"Common stock of Twitter, social media company",A: None,,,False,"[""Capital gains""]",,"F: $5,001-$15,000",5001,15000,False,,7/116
asset:2016:000041,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,Tesla Motors Inc,Common stock,Common stock of Tesla Motors Inc,"D: $15,001-$50,000",15001,50000,False,"[""N/A""]",,A: None,,,False,,7/116
asset:2016:000042,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,Ecolab Inc,Common stock,Common stock of Ecolab Inc,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,7/116
asset:2016:000043,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,IHS Inc Com,Common stock,Common stock of IHS Inc,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,7/116
asset:2016:000044,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,Netflix Inc,Common stock,Common stock of Netflix Inc,"C: $1,001-$15,000",1001,15000,False,"[""N/A""]",,A: None,,,False,,7/116
asset:2016:000045,2016,2016-1,page:2016-1:0007,7,7,SP,Spouse,SP,See attached GS Schedule,Nike Inc B,Common stock,Common stock of Nike Inc B,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,7/116
asset:2016:000046,2016,2016-1,page:2016-1:0008,8,8,SP,Spouse,SP,See attached GS Schedule,Nvidia Corporation,Common stock,"Common stock of Nvidia, maker of graphics and computing chips","C: $1,001-$15,000",1001,15000,False,"[""Dividends""]",,B: $1-$200,1,200,False,,8/116
asset:2016:000047,2016,2016-1,page:2016-1:0008,8,8,SP,Spouse,SP,See attached GS Schedule,Twenty-First Century Fox CL A,Common stock,"Class A common stock of 21st Century Fox, film and television media company",A: None,,,False,"[""Dividends"",""Capital gains""]",,A: None,,,False,,8/116
asset:2016:000048,2016,2016-1,page:2016-1:0008,8,8,SP,Spouse,SP,See attached GS Schedule,Amazon Inc,Common stock,Common stock of Amazon Inc,"D: $15,001-$50,000",15001,50000,False,"[""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,8/116
asset:2016:000049,2016,2016-1,page:2016-1:0008,8,8,SP,Spouse,SP,See attached GS Schedule,Priceline Grp Inc,Common stock,Common stock of Priceline Grp Inc,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,A: None,,,False,,8/116
asset:2016:000050,2016,2016-1,page:2016-1:0008,8,8,SP,Spouse,SP,See attached GS Schedule,Intuitive Surgical Inc,Common stock,Common stock of Intuitive Surgical Inc,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"C: $201-$1,000",201,1000,False,,8/116
asset:2016:000051,2016,2016-1,page:2016-1:0009,9,9,SP,Spouse,SP,See attached GS Schedule,Celgene Corp,Common stock,Common stock of Celgene Corp,"D: $15,001-$50,000",15001,50000,False,"[""Capital gains""]",,"F: $5,001-$15,000",5001,15000,False,,9/116
asset:2016:000052,2016,2016-1,page:2016-1:0009,9,9,SP,Spouse,SP,See attached GS Schedule,Gilead Sciences Inc,Common stock,Common stock of Gilead Sciences Inc,A: None,,,False,"[""Dividends"",""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,9/116
asset:2016:000053,2016,2016-1,page:2016-1:0009,9,9,SP,Spouse,SP,See attached GS Schedule,Illumina Inc,Common stock,Common stock of Illumina Inc,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,9/116
asset:2016:000054,2016,2016-1,page:2016-1:0009,9,9,SP,Spouse,SP,See attached GS Schedule,CME Group Inc,Common stock,Common stock of CME Group Inc,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,9/116
asset:2016:000055,2016,2016-1,page:2016-1:0009,9,9,SP,Spouse,SP,See attached GS Schedule,McGraw Hill Financial Inc,Common stock,Common stock of Mcgraw Hill Financial Inc,A: None,,,False,"[""Dividends""]",,B: $1-$200,1,200,False,,9/116
asset:2016:000056,2016,2016-1,page:2016-1:0010,10,10,SP,Spouse,SP,See attached GS Schedule,S&P Global Inc Com,Common stock,Common stock of S&P Global Inc,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"C: $201-$1,000",201,1000,False,,10/116
asset:2016:000057,2016,2016-1,page:2016-1:0010,10,10,SP,Spouse,SP,See attached GS Schedule,Charles Schwab Corp,Common stock,Common stock of Charles Schwab Corp,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,B: $1-$200,1,200,False,,10/116
asset:2016:000058,2016,2016-1,page:2016-1:0010,10,10,SP,Spouse,SP,See attached GS Schedule,American Tower,Other,"Shares of American Tower, real estate trust owning cell phone towers","C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,10/116
asset:2016:000059,2016,2016-1,page:2016-1:0010,10,10,SP,Spouse,SP,See attached GS Schedule,Equinix Inc Com REIT,Common stock,Common stock of Equinix Inc Reit,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,10/116
asset:2016:000060,2016,2016-1,page:2016-1:0010,10,10,SP,Spouse,SP,See attached GS Schedule,Alphabet Inc CL A,Common stock,Common stock of Alphabet Inc CL A,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,10/116
asset:2016:000061,2016,2016-1,page:2016-1:0011,11,11,SP,Spouse,SP,See attached GS Schedule,Alphabet Inc CL C,Common stock,Common stock of Alphabet Inc CL C,A: None,,,False,"[""Capital gains""]",,"F: $5,001-$15,000",5001,15000,False,,11/116
asset:2016:000062,2016,2016-1,page:2016-1:0011,11,11,SP,Spouse,SP,See attached GS Schedule,Facebook Inc CL A,Common stock,Common stock of Facebook Inc CL A,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"D: $1,001-$2,500",1001,2500,False,,11/116
asset:2016:000063,2016,2016-1,page:2016-1:0011,11,11,SP,Spouse,SP,See attached GS Schedule,Cognizant Tech Solutions Corp,Common stock,Common stock of Cognizant Tech Solutions Corp,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,11/116
asset:2016:000064,2016,2016-1,page:2016-1:0011,11,11,SP,Spouse,SP,See attached GS Schedule,Alliance Data,Other,"Common stock of Alliance Data Systems, loyalty-program and store credit card company","C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,A: None,,,False,,11/116
asset:2016:000065,2016,2016-1,page:2016-1:0012,12,12,SP,Spouse,SP,See attached GS Schedule,Paypal Hldgs Inc Com,Common stock,Common stock of Paypal Hldgs Inc,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,"C: $201-$1,000",201,1000,False,,12/116
asset:2016:000066,2016,2016-1,page:2016-1:0012,12,12,SP,Spouse,SP,See attached GS Schedule,Visa Inc CL A Shares,Common stock,Common stock of Visa Inc CL A Shares,"C: $1,001-$15,000",1001,15000,False,"[""Dividends"",""Capital gains""]",,"F: $5,001-$15,000",5001,15000,False,,12/116
asset:2016:000067,2016,2016-1,page:2016-1:0012,12,12,SP,Spouse,SP,See attached GS Schedule,Arm Holdings PLC Cambridge ADR,Common stock,Common stock of Arm Holdings PLC Cambridge,A: None,,,False,"[""Dividends"",""Capital gains""]",,"E: $2,501-$5,000",2501,5000,False,,12/116
asset:2016:000068,2016,2016-1,page:2016-1:0013,13,13,SP,Spouse,SP,See attached GS Schedule,Eurostoxx 50 Structured Note,Other,Bank-issued structured note tied to the Euro Stoxx 50 European stock index,A: None,,,False,"[""N/A""]",,A: None,,,False,,13/116
asset:2016:000069,2016,2016-1,page:2016-1:0013,13,13,SP,Spouse,SP,See attached GS Schedule,Allergan PLC,Common stock,Common stock of Allergan PLC,"C: $1,001-$15,000",1001,15000,False,"[""Capital gains""]",,A: None,,,False,,13/116
asset:2016:000070,2016,2016-1,page:2016-1:0013,13,13,SP,Spouse,SP,See attached GS Schedule,FMC Technologies,Other,"Common stock of FMC Technologies, maker of oilfield and subsea drilling equipment",A: None,,,False,"[""N/A""]",,A: None,,,False,,13/116
asset:2016:000071,2016,2016-1,page:2016-1:0013,13,13,SP,Spouse,SP,See attached GS Schedule,Allergan Inc,Common stock,Common stock of Allergan Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,13/116
asset:2016:000072,2016,2016-1,page:2016-1:0013,13,13,SP,Spouse,SP,See attached GS Schedule,T-Rowe Price Group Inc,Common stock,Common stock of T-rowe Price Group Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,13/116
asset:2016:000073,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,Apple Inc,Common stock,Common stock of Apple Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000074,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,Stratasys Inc,Common stock,Common stock of Stratasys Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000075,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,Ensco Plc,Common stock,Common stock of Ensco Plc,A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000076,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,National-Oil Well Varco Inc,Common stock,Common stock of National-oil Well Varco Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000077,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,Chevron Corporation,Common stock,"Common stock of Chevron, multinational oil and gas company",A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000078,2016,2016-1,page:2016-1:0014,14,14,SP,Spouse,SP,See attached GS Schedule,ConocoPhillips,Other,"Common stock of ConocoPhillips, oil and gas exploration and production company",A: None,,,False,"[""N/A""]",,A: None,,,False,,14/116
asset:2016:000079,2016,2016-1,page:2016-1:0015,15,15,SP,Spouse,SP,See attached GS Schedule,Marathon Oil Corp,Common stock,Common stock of Marathon Oil Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,15/116
asset:2016:000080,2016,2016-1,page:2016-1:0015,15,15,SP,Spouse,SP,See attached GS Schedule,Murphy Oil Corp,Common stock,Common stock of Murphy Oil Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,15/116
asset:2016:000081,2016,2016-1,page:2016-1:0015,15,15,SP,Spouse,SP,See attached GS Schedule,Intl Paper Co,Common stock,Common stock of Intl Paper Co,A: None,,,False,"[""N/A""]",,A: None,,,False,,15/116
asset:2016:000082,2016,2016-1,page:2016-1:0015,15,15,SP,Spouse,SP,See attached GS Schedule,Freeport-McMoran Inc,Common stock,Common stock of Freeport-mcmoran Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,15/116
asset:2016:000083,2016,2016-1,page:2016-1:0015,15,15,SP,Spouse,SP,See attached GS Schedule,Nucor Corp Com,Common stock,Common stock of Nucor Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,15/116
asset:2016:000084,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,General Dynamics Corp Com,Common stock,Common stock of General Dynamics Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000085,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,Fluor Corp,Common stock,Common stock of Fluor Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000086,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,Danaher Corp,Common stock,Common stock of Danaher Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000087,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,Deere & Co,Common stock,Common stock of Deere & Co,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000088,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,Dover Corp Com,Common stock,Common stock of Dover Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000089,2016,2016-1,page:2016-1:0016,16,16,SP,Spouse,SP,See attached GS Schedule,Whirlpool Corp,Common stock,Common stock of Whirlpool Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,16/116
asset:2016:000090,2016,2016-1,page:2016-1:0017,17,17,SP,Spouse,SP,See attached GS Schedule,Mattel Inc,Common stock,Common stock of Mattel Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,17/116
asset:2016:000091,2016,2016-1,page:2016-1:0017,17,17,SP,Spouse,SP,See attached GS Schedule,V F Corp,Common stock,Common stock of V F Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,17/116
asset:2016:000092,2016,2016-1,page:2016-1:0017,17,17,SP,Spouse,SP,See attached GS Schedule,Kohls Corp Com,Common stock,Common stock of Kohls Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,17/116
asset:2016:000093,2016,2016-1,page:2016-1:0017,17,17,SP,Spouse,SP,See attached GS Schedule,CVS Health Corp,Common stock,Common stock of CVS Health Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,17/116
asset:2016:000094,2016,2016-1,page:2016-1:0017,17,17,SP,Spouse,SP,See attached GS Schedule,Archer Daniels Midland Co,Common stock,Common stock of Archer Daniels Midland Co,A: None,,,False,"[""N/A""]",,A: None,,,False,,17/116
asset:2016:000095,2016,2016-1,page:2016-1:0018,18,18,SP,Spouse,SP,See attached GS Schedule,Kimberly Clark Corp,Common stock,Common stock of Kimberly Clark Corp,A: None,,,False,"[""N/A""]",,A: None,,,False,,18/116
asset:2016:000096,2016,2016-1,page:2016-1:0018,18,18,SP,Spouse,SP,See attached GS Schedule,St Jude Med Inc,Common stock,Common stock of St Jude Med Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,18/116
asset:2016:000097,2016,2016-1,page:2016-1:0018,18,18,SP,Spouse,SP,See attached GS Schedule,UnitedHealth Group Inc,Common stock,Common stock of Unitedhealth Group Inc,A: None,,,False,"[""N/A""]",,A: None,,,False,,18/116
asset:2016:000098,2016,2016-1,page:2016-1:0018,18,18,SP,Spouse,SP,See attached GS Schedule,Eli Lilly & Co,Common stock,Common stock of Eli Lilly & Co,A: None,,,False,"[""N/A""]",,A: None,,,False,,18/116
asset:2016:000099,2016,2016-1,page:2016-1:0018,18,18,SP,Spouse,SP,See attached GS Schedule,Johnson & Johnson,Other,"Common stock of Johnson & Johnson, healthcare and pharmaceutical company",A: None,,,False,"[""N/A""]",,A: None,,,False,,18/116
asset:2016:000100,2016,2016-1,page:2016-1:0019,19,19,SP,Spouse,SP,See attached GS Schedule,JPMorgan Chase & Co,Common stock,Common stock of Jpmorgan Chase & Co,None,0,0,False,"[""N/A""]",,None,0,0,False,,19/116
asset:2016:000101,2016,2016-1,page:2016-1:0019,19,19,SP,Spouse,SP,See attached GS Schedule,Capital One Finl Corp,Common stock,Common stock of Capital One Finl Corp,None,0,0,False,"[""N/A""]",,None,0,0,False,,19/116
asset:2016:000102,2016,2016-1,page:2016-1:0019,19,19,SP,Spouse,SP,See attached GS Schedule,Franklin Res Inc Com,Common stock,Common stock of Franklin Res Inc,None,0,0,False,"[""N/A""]",,None,0,0,False,,19/116
